name,price,size,color,rpm,airflow,noise_level,pwm
Fractal Design Aspect 14 PWM,,140,Black,"[500, 1700]","[20, 78]","[10, 35.5]",True
ARCTIC P14 PST CO,,140,Black,"[200, 1700]",72.8,22.5,True
Noctua A15 HS-PWM chromax.black.swap,28.95,140,Multicolor,"[300, 1500]",82.52,24.6,True
Phanteks PH-F120SK,13.22,120,Black,"[500, 1500]",50,27,True
Phanteks M25-140 PWM D-RGB 3-Pack,49.98,140,Black,"[500, 1800]",104.62,36.57,True
ID-COOLING TF-12025-SW,12.99,120,White,"[700, 1800]",76.16,"[15.2, 35.2]",True
Cooler Master SickleFlow,18.2,140,Black,"[650, 1400]",67,"[10, 27]",True
be quiet! Pure Wings 2,15.0,120,Black,1500,51.4,19.2,False
Phanteks M25-120 PWM D-RGB 3-Pack,44.98,120,White,"[500, 2000]",84.26,35.7,True
Phanteks M25-140 PWM 3-Pack,34.98,140,Black,"[500, 1800]",104.62,36.57,True
NZXT F120 RGB DUO,39.98,120,Black,"[500, 1800]",48.58,29,True
Noctua A9 PWM,18.95,92,Brown,"[400, 2000]","[36.84, 46.44]","[16.3, 22.8]",True
Thermaltake SWAFAN EX14 RGB 3-Pack,119.99,140,White,"[500, 2000]","[79.3, 81.6]","[34.5, 38.8]",False
Asus ROG STRIX XF,29.99,120,Black,1800,62.5,22.5,True
be quiet! Light Wings PWM,29.77,120,Black,1700,41.51,20.6,True
Gelid Solutions Stella,9.94,120,Black,"[500, 1600]",70,35,True
be quiet! Light Wings PWM,29.9,140,Black,1500,56,23.3,True
Phanteks D30-120,33.98,120,White,"[250, 2000]",64.3,30.2,True
BGears b-Blaster,31.98,140,Black,5200,308,70,False
Lian Li Uni Fan SL,24.99,140,White,"[500, 1500]",70.5,30,True
ARCTIC P12 Silent,9.99,120,Black,1050,24.1,,False
be quiet! Silent Wings 4,23.9,120,Black,2500,76.7,"[32.1, 31.2]",True
Noctua A15 PWM,23.94,140,Brown,"[900, 1200]",,"[13.8, 19.2]",True
Corsair iCUE ML120 RGB ELITE Premium,24.99,120,White / Gray,"[450, 2000]","[14.86, 58.1]","[10, 30.4]",True
Fractal Design Dynamic X2 GP-14,21.44,140,Black,1000,68.4,18.9,False
ARCTIC P12 PWM PST A-RGB 0dB,17.04,120,White / Gray,,48.8,,True
Phanteks M25-120 PWM D-RGB,54.55,120,Black,"[500, 2000]",84.26,35.7,True
Noctua A14 industrialPPC-2000 IP67 PWM,31.95,140,Brown / Black,"[500, 2000]",107.41,31.5,True
Deepcool FK120,,120,Black,"[500, 1850]",68.99,28,True
Corsair AF140L,4.99,140,Black / Gray,1000,67.43,,False
NZXT F140P,16.98,140,Black,"[500, 1500]","[33.22, 99.68]","[19.4, 32.1]",True
Thermalright TL-B12,11.99,120,Black,2150,69,28.1,True
Phanteks D30-120 Reversed,,120,Black,"[250, 2000]",61.5,31.8,True
Noctua F12 industrialPPC-2000 IP67 PWM,27.95,120,Brown / Black,"[450, 2000]",71.69,29.7,True
Fractal Design Aspect 12 PWM,,120,Black,"[500, 2000]","[13, 56]","[10, 33.2]",True
Noctua A8 PWM chromax.black.swap,33.38,80,Black / Multicolor,"[450, 2200]",32.67,17.7,True
Noctua P14s redux-1200,16.95,140,Black / Gray,1200,64.92,19.6,False
ID-COOLING NO-12015-XT ARGB SNOW,14.99,120,White,"[500, 2000]",54.6,"[13.8, 31.2]",True
Cooler Master SickleFlow,17.98,120,Black,"[650, 1800]",62,"[8, 27]",True
Lian Li Uni Fan SL,29.99,140,Black,"[500, 1500]",70.5,30,True
be quiet! Silent Wings 3,29.03,140,Black,1000,59.5,15.5,True
be quiet! Light Wings PWM 3-Pack,83.99,140,Black,1500,56,23.3,True
Thermalright TL-B12 EXTREM,15.92,120,Black / Red,3150,112,40.5,True
Xigmatek XAF,4.88,120,Black,1500,75.3,24,False
Corsair AF120 Performance,153.65,120,Black,1650,63.47,30,False
Fractal Design Dynamic X2 GP-12,25.67,120,Black,1200,52.3,19.4,False
ARCTIC BioniX P120,13.77,120,White / Black,"[200, 2100]",67.56,,True
Corsair AF140 ELITE,29.92,140,Black,"[400, 1600]","[15.3, 84.5]",31,True
Thermaltake Pure ARGB TT Premium Edition 3-Pack,44.99,120,Black,"[500, 1500]",56.45,25.8,True
Corsair AF120 (2018),23.93,120,Black / White,1400,52,26,False
Corsair iCUE QL140,43.99,140,Black,"[550, 1250]",50.2,26,True
Fractal Design Aspect 12 RGB 3-Pack,37.98,120,Black,1200,32,18.3,False
Fractal Design Aspect 14 RGB PWM 3-Pack,64.64,140,Black,"[500, 1700]","[20, 78]","[10, 35.5]",True
Corsair LL140,39.95,140,Black,"[600, 1300]",51.5,25,True
be quiet! Silent Wings 4,31.16,140,Black,1900,78.4,29.3,True
Noctua S12B redux-1200,14.95,120,Black / Gray,1200,59.1,18.1,False
Thermaltake Riing Trio 14 RGB TT Premium Edition 3-Pack,201.25,140,Black,"[500, 1400]",60.68,26.5,True
Corsair AF140 (2018) 2-Pack,30.99,140,Black / White,1150,62,26,False
NZXT AER RGB 2 3-Pack,,120,Black,"[500, 1500]","[17.48, 52.44]","[22, 33]",True
Corsair iCUE QL140 2-Pack,110.99,140,White / Black,"[550, 1250]",50.2,26,True
Deepcool RF 120 3-Pack,48.7,120,Black / Clear,"[500, 1500]",56.5,"[17.8, 27]",True
Corsair AF120 ELITE,19.98,120,White / Gray,"[400, 1850]","[10.9, 59.1]",31.5,True
Scythe Kaze Flex 120,9.99,120,Black,"[300, 1500]","[16.6, 66.47]","[4, 29.75]",True
Phanteks D30-120 Reversed,39.99,120,White,"[250, 2000]",61.5,31.8,True
Fractal Design Aspect 12 RGB,24.99,120,Black,1200,32,18.3,False
NZXT Aer F,12.0,140,Black,,"[34.48, 103.43]","[21, 35]",True
NZXT F120P,24.98,120,White,"[500, 1800]","[21.67, 78.02]","[17.9, 30.6]",True
Silverstone Shark Force,,120,Black,,"[0, 100]","[0, 41.2]",True
Fractal Design Aspect 14 RGB PWM,,140,Black,"[500, 1700]","[20, 78]","[10, 35.5]",True
Lian Li UNI FAN AL140 V2,30.99,140,White,"[250, 1600]",81.3,26.8,True
Fractal Design Aspect 12 RGB,27.62,120,White,1200,32,18.3,False
be quiet! Pure Wings 2,12.9,140,Black,1000,61.2,18.8,False
Thermaltake Riing Plus TT 5-Pack,131.25,140,Black,"[500, 1400]",63.19,27.2,True
Corsair ML Elite,14.99,120,Black,"[450, 2000]","[14.86, 58.1]","[10, 30.4]",True
Noctua NF-A14 INDUSTRIALPPC-24V-3000 Q100 IP67 PWM,,120,Black / Brown,"[800, 3000]",158.5,41.3,True
be quiet! Pure Wings 2,9.9,92,Black,"[500, 1900]",33.15,19.6,True
Antec Prizm 3+2+C 3-Pack,203.0,120,Black,2000,45.03,32.6,True
Thermaltake Pure Plus RGB TT Premium Edition 3-Pack,49.99,140,Black,"[500, 1400]",70.32,30.4,True
Corsair ML120 Pro,27.62,120,Black / Red,"[400, 2400]","[12, 75]","[16, 37]",True
Cooler Master SickleFlow ARGB,31.98,200,Black / Translucent White,,"[0, 102.8]","[0, 15.7]",True
Gigabyte AORUS 120 ARGB,,120,Black,"[800, 1700]","[18.52, 40.85]","[7.3, 28.6]",True
ARCTIC BioniX F120,12.99,120,Black / White,"[200, 1800]",69,24.4,True
be quiet! Pure Wings 2,12.9,140,Black,"[500, 1600]",,37.3,True
Corsair ML140 LED ELITE White Premium,34.99,120,White,"[400, 1600]","[15, 82.9]","[10, 31.8]",True
Asiahorse FS-N001 3-Pack,,120,White,"[800, 1500]",,,True
ARCTIC P14,14.88,140,Black,"[200, 1700]",72.8,22.5,True
Xigmatek XAF,4.69,140,Orange,"[800, 1300]",90.3,18,False
Deepcool XFAN,,120,Black,1300,44.71,26,False
Corsair ML140 Pro,,140,Black,"[400, 2000]","[20, 97]","[16, 37]",True
Cooler Master MasterFan MF Prismatic 3-Pack,79.98,120,Black / White,"[650, 2000]",55,"[8, 27]",True
Thermaltake Riing Quad 14 RGB Radiator TT Premium Edition 3-Pack,129.99,140,White,"[500, 1400]",60.17,26.1,True
Corsair ML120 Pro,,120,Black,"[400, 2400]","[12, 75]","[16, 37]",True
Lian Li Uni Fan AL,29.99,120,White,"[800, 1900]",64.5,"[17, 28.3]",True
Corsair AF120 SLIM,24.37,120,White,"[600, 2000]","[13.4, 56.3]","[5, 25.6]",True
Corsair ML140 Pro,31.96,140,Black / White,"[400, 2000]","[20, 97]","[16, 37]",True
NZXT F RGB Core 2-Pack,,140,Black,"[500, 1800]","[24.85, 89.48]","[20, 32.5]",True
upHere T7SYC7 3-Pack,27.99,120,Black,"[600, 1700]",,"[16.1, 27.7]",True
Noctua A9x14,18.95,92,Brown,"[300, 2200]","[22.42, 29.72]","[13.5, 19.89]",True
Lian Li UNI FAN P28,25.99,120,Black,"[200, 2600]","[44.94, 92]","[20.4, 32.1]",True
Noctua A4x20 PWM,14.95,40,Brown,"[1200, 5000]","[4.89, 5.53]","[12.2, 14.9]",True
Xigmatek XAF,4.69,120,Orange,1500,75.3,24,False
Cooler Master SickleFlow,14.98,120,Black,"[650, 1800]",62,"[8, 27]",True
Noctua S12B redux-700,13.95,120,Black / Gray,700,33.49,6.8,False
be quiet! Shadow Wings 2,14.9,120,Black,1100,38.5,15.7,False
Noctua A14 industrialPPC-2000,29.95,140,Brown / Black,2000,107.42,31.5,False
Cooler Master MOBIUS 120P ARGB,37.98,120,Black,,75.2,30,True
