name,price,type,efficiency,wattage,modular,color
be quiet! Pure Power 12 M,134.9,ATX,gold,850,Full,Black
SeaSonic FOCUS GX,145.98,ATX,gold,750,Full,Black
EVGA 850 BQ,118.14,ATX,bronze,850,Semi,
Cooler Master V850 SFX GOLD,129.99,SFX,gold,850,Full,White
EVGA 550 BP,59.99,ATX,bronze,550,False,Black
EVGA SuperNOVA 1300 GT,219.99,ATX,gold,1300,Full,Black
Asus ROG-STRIX-850G,178.63,ATX,gold,850,Full,Black
Thermaltake Toughpower GF3 TT Premium,269.99,ATX,gold,1650,Full,Black
EVGA GE,69.98,ATX,gold,500,False,Black
Thermaltake Toughpower GF1 PE,119.98,ATX,gold,650,Full,
Thermaltake Smart BX1,79.8,ATX,bronze,750,False,Black
EVGA SuperNOVA 750 G5,144.98,ATX,gold,750,Full,Black / Green
EVGA SuperNOVA 1600 T2,499.99,ATX,titanium,1600,Full,
Silverstone SFX,112.99,SFX,gold,500,Full,
Super Flower Leadex V Pro,299.99,ATX,platinum,1000,Full,White
Fractal Design Ion SFX 650G,,SFX,gold,650,Full,Black
SeaSonic FOCUS GX,253.48,ATX,gold,1000,Full,Black
Corsair SF850L,159.99,SFX,gold,850,Full,Black
be quiet! System Power 10,181.81,ATX,gold,850,False,Black
Silverstone SX1000-LPT,250.21,SFX,platinum,1000,Full,Black
Corsair HX850 Platinum,,ATX,platinum,850,Full,
be quiet! System Power 10,101.48,ATX,bronze,450,False,Black
be quiet! Straight Power 11 750W,135.99,ATX,gold,750,Full,
be quiet! Dark Power 13,249.9,ATX,titanium,850,Full,Black
Corsair TX550M,,ATX,gold,550,Semi,Black
Asus ROG Strix,292.0,ATX,gold,750,Full,Black / Red
Thermaltake Smart Pro RGB,119.57,ATX,bronze,750,Full,
Cooler Master V750,,ATX,gold,750,Full,
Apevia Signature,71.98,ATX,bronze,1050,Semi,Black
Gigabyte P450B,89.98,ATX,bronze,450,False,Black
Deepcool PM750D,97.99,ATX,gold,750,False,Black
KOLINK ENCLAVE,,ATX,gold,600,Full,Black / Yellow
ARESGAME AGV,,ATX,bronze,650,False,Black
CoolMax I-500,24.11,ATX,,500,False,
Super Flower Golden Green HX,,ATX,gold,650,False,
MSI MAG A550BN,,ATX,bronze,550,False,Black
Fractal Design Ion Gold,209.0,ATX,gold,550,Full,Black
Asus ROG THOR 850P,,ATX,platinum,850,Full,Black / Red
EVGA SuperNOVA 1600 P+,304.99,ATX,platinum,1600,Full,Black
Phanteks AMP v2,179.99,ATX,gold,1000,Full,White
Corsair CX450M (2015),136.79,ATX,bronze,450,Semi,
EVGA SuperNOVA 850 P6,188.63,ATX,platinum,850,Full,Black / Silver
EVGA SuperNOVA 850 T2,234.0,ATX,titanium,850,Full,
KOLINK Classic Power,,ATX,bronze,400,False,Black / Red
Super Flower Leadex Titanium,799.99,ATX,titanium,1600,Full,Black
Corsair HX750 Platinum,294.99,ATX,platinum,750,Full,
KOLINK ENCLAVE,,ATX,gold,700,Full,Black / Yellow
Silverstone SFX,223.98,SFX,titanium,800,Full,
Thermaltake Toughpower GF3 TT Premium,169.99,ATX,gold,1000,Full,Black
be quiet! Pure Power 11,89.29,ATX,gold,400,False,Black
Corsair CX750F,159.99,ATX,bronze,750,Full,White / Black
Corsair RM850x (2018),187.99,ATX,gold,850,Full,Black
SeaSonic FOCUS GX,132.98,ATX,gold,650,Full,Black
Corsair RM750x (2018),186.95,ATX,gold,750,Full,Black
Asus ROG THOR 1200P,,ATX,platinum,1200,Full,Black
EVGA 550 B5,79.98,ATX,bronze,550,Full,Black
Deepcool PM850D,98.98,ATX,gold,850,False,Black
EVGA 850 GQ,145.0,ATX,gold,850,Semi,
GameMax RGB Rainbow,99.99,ATX,gold,850,Full,Black
Thermaltake Toughpower GF1 ARGB,95.99,ATX,gold,650,Full,
Gigabyte P550B,69.99,ATX,bronze,550,False,Black
Phanteks Revolt SFX,104.99,SFX,gold,750,Full,Black
Cooler Master V750 V2,159.99,ATX,gold,750,Full,White
Apex AG-M,,ATX,gold,850,Full,Black
be quiet! System Power 10,98.09,ATX,bronze,650,False,Black
Corsair CV750,,ATX,bronze,750,False,Black
SeaSonic S12III,71.98,ATX,bronze,500,False,Black
Corsair CX650M,224.95,ATX,bronze,650,Semi,
SeaSonic VERTEX GX-1000,244.43,ATX,gold,1000,Full,Black / Silver
NZXT C1000 (2022),219.67,ATX,gold,1000,Full,Black
Corsair CX550F,136.79,ATX,bronze,550,Full,Black
Deepcool PQ750M,109.99,ATX,gold,750,Full,Black
Thermaltake Toughpower GF3 TT Premium,127.99,ATX,gold,850,Full,Black
EVGA 650 BQ,,ATX,bronze,650,Semi,
MSI MEG Ai1000P PCIE5,279.99,ATX,platinum,1000,Full,Black / Copper
Gigabyte P650G (US),69.98,ATX,gold,650,False,Black
EVGA SuperNOVA 1000 G6,231.99,ATX,gold,1000,Full,Black
Cooler Master MWE Bronze V2,,ATX,bronze,650,False,Black
ARESGAME AGV,,ATX,bronze,500,False,Black
Super Flower Leadex V Platinum Pro,308.68,ATX,platinum,1000,Full,White
EVGA 850 B5,138.88,ATX,bronze,850,Full,Black
be quiet! Dark Power Pro 13,419.9,ATX,titanium,1300,Full,Black
