name,price,type,efficiency,wattage,modular,color
Cooler Master 700W MasterWatt Lite 230V,,ATX,plus,700,False,
Corsair HX650,,ATX,gold,650,Semi,
SilentiumPC Vero L2,,ATX,bronze,500,False,Black
Corsair RM450,,ATX,gold,450,Full,
be quiet! Pure Power L8,,ATX,bronze,300,False,
Antec Signature Platinum,284.99,ATX,platinum,1300,Full,Black
iTek GF750 EVO,,ATX,gold,750,Full,Black / Red
EVGA SuperNOVA 1000 G7,,ATX,gold,1000,Full,Black / Blue
Thermaltake Smart,,ATX,bronze,750,False,
SHARKOON SilentStorm Icewind Black,,ATX,bronze,750,Semi,Black
Silverstone NJ450-SXL,,SFX,platinum,450,Full,Black / Blue
Thermaltake Smart BX1 RGB 550,,ATX,bronze,550,False,Black
Logisys PS550E12BK,29.99,ATX,,550,False,
LC-Power LC6 V2.31,,ATX,gold,850,Full,Black / Gray
NOX Hummer,85.14,ATX,bronze,650,Semi,
be quiet! Pure Power 11 CM,,ATX,gold,500,Semi,Black
EVGA SuperNOVA 1200 P3,,ATX,platinum,1200,Full,Black / Silver
Cooler Master V850,,ATX,gold,850,Full,Black
Cooler Master 600W MasterWatt Lite 230V,,ATX,plus,600,False,
Gigabyte PB500,,ATX,bronze,500,False,
Rosewill PHOTON-850,,ATX,gold,850,Full,
Corsair CX430M,195.29,ATX,bronze,430,Semi,
Thermaltake TOUGHPOWER PF1 ARGB,299.99,ATX,platinum,850,Full,
LC-Power LC6650 V2.3,,ATX,bronze,650,False,Black
Silverstone Strider,,ATX,plus,500,False,
NZXT E500,,ATX,gold,500,Full,Black
Montech TITAN GOLD 850W,,ATX,gold,850,Full,Black
LC-Power LC6 V2.31,,ATX,gold,550,Full,Black / Gray
Segotep GP700G,,ATX,gold,700,False,Black
Thermaltake Smart,,ATX,bronze,550,False,
Cooler Master V700,,ATX,gold,700,Full,
Sparkle FSP300-60ATV,59.99,ATX,,300,False,
Deepcool PF750 230V,,ATX,plus,750,False,Black
Thermaltake Smart,,ATX,plus,730,False,
Mars Gaming MP700,,ATX,,700,False,
Cooler Master MWE GOLD 550 V2 FULL MODULAR,,ATX,gold,550,Full,Black
SeaSonic PRIME TX-1300 ATX 3.0,,ATX,titanium,1300,Full,Black / Silver
Corsair TX950,,ATX,bronze,950,False,
EVGA 450 B3,,ATX,bronze,450,Full,
EVGA SuperNOVA 750 G1,,ATX,gold,750,Full,
Cooler Master G750M,,ATX,bronze,750,Semi,
LC-Power LC6 V2.31,,ATX,gold,1000,Full,Black / Gray
EVGA SuperNOVA 1000 P3,,ATX,platinum,1000,Full,Black / Silver
Thermaltake Toughpower Grand RGB Platinum,,ATX,platinum,1200,Full,Black
Raidmax Vortex,,ATX,gold,600,False,Black
Cooler Master MWE GOLD 750 V2,,ATX,gold,750,False,Black
Segotep GF,,SFX,gold,750,Full,Black / Gray
Thermaltake Toughpower GF2 ARGB,158.99,ATX,gold,750,Full,Black
CoolMax V-500,29.78,ATX,,500,False,
GameMax GP,,ATX,bronze,550,False,Black
Corsair CS450M,174.95,ATX,gold,450,Semi,
Enermax MAXREVO,,ATX,gold,1800,Full,Black
Silverstone SFX,,SFX,bronze,450,False,
Cooler Master MasterWatt Lite 500W Full Range,,ATX,plus,500,False,
EVGA SuperNOVA NEX750G Gold,,ATX,gold,750,Full,
BitFenix Whisper M,,ATX,gold,650,Full,
FSP Group Dagger Pro,,SFX,gold,550,Full,Black
Thermaltake Toughpower Grand RGB 850 SE,,ATX,gold,850,Full,Black
Antec EARTHWATTS GOLD PRO 550,,ATX,gold,550,Semi,Black
be quiet! System Power 9,,ATX,bronze,700,False,Black
Tacens Radix VII AG,,ATX,silver,600,False,Black
G.Skill PS850G,,ATX,gold,850,Full,Black
SeaSonic S12II,,ATX,bronze,350,False,
Cougar VTE X2,,ATX,plus,650,False,Black
Thermaltake TR2,,ATX,bronze,600,False,
FSP Group HYPER K PRO,,ATX,plus,500,False,Black / Yellow
Silverstone DA1000R,,ATX,gold,1000,Full,Black
Silverstone NJ700,315.52,ATX,titanium,700,Full,Silver
Asus ROG Strix Aura Edition,,ATX,gold,850,Full,Black
BitFenix Formula Gold 650,,ATX,gold,650,False,
Corsair Vengeance 550M,,ATX,bronze,550,Semi,
EVGA 700 B1,,ATX,bronze,700,False,
Antec VP PLUS,,ATX,plus,600,False,Black
SHARKOON SilentStorm Icewind Black,,ATX,bronze,650,Semi,Black
Corsair AX760i,,ATX,platinum,760,Full,
Cooler Master V550,,ATX,gold,550,Full,
Corsair HX750,499.99,ATX,gold,750,Semi,
Thermaltake Smart,,ATX,bronze,850,Semi,
Thermaltake TR2 S 550W,,ATX,plus,550,False,
Segotep CP-PSU-ST-P750F,,ATX,gold,750,Full,Black
Corsair RM550,299.99,ATX,gold,550,Full,
Cooler Master G550M,,ATX,bronze,550,Semi,
Corsair TX850M,499.99,ATX,bronze,850,Semi,
GAMDIAS KRATOS E1,,ATX,plus,500,False,Black
SeaSonic FOCUS SGX (2021),,SFX,gold,650,Full,Black
SeaSonic PRIME TX-650,,ATX,titanium,650,Full,Black
Antec High Current Gamer,,ATX,bronze,900,False,
SeaSonic 750FX WHITE,,ATX,gold,750,Full,White
Rosewill PHOTON-650,,ATX,gold,650,Full,
In Win P65F,,ATX,gold,650,False,Black
EVGA 710 BP,138.5,ATX,bronze,710,False,Black
Thermaltake Toughpower GF1 - TT Premium,,ATX,gold,1000,Full,Black
Antec EARTHWATTS GOLD PRO 750,180.63,ATX,gold,750,Semi,Black
Antec VP PLUS,146.52,ATX,plus,650,False,
Apevia Spirit,,ATX,,700,False,
Super Flower Legion GX Pro,,ATX,gold,650,Semi,Black
Cooler Master V1300 Platinum,445.9,ATX,platinum,1300,Full,Black
SeaSonic PRIME Ultra Gold 1000,379.99,ATX,gold,1000,Full,Black
SeaSonic PRIME Ultra Gold 850,194.98,ATX,gold,850,Full,Black
Thermaltake TOUGHPOWER PF1 ARGB,,ATX,platinum,1200,Full,
Cougar POLAR,,ATX,platinum,1050,Full,White
be quiet! Pure Power 10,,ATX,silver,500,False,
Corsair GS700,279.99,ATX,bronze,700,False,
Cougar GX-S,,ATX,gold,550,False,
Silverstone TX300,63.29,TFX,bronze,300,False,Black
Xilence Performance A+ III,,ATX,bronze,450,False,Black / Red
Athena Power AP-MFATX40,,Mini ITX,bronze,400,False,
be quiet! Dark Power Pro 11,,ATX,platinum,850,Semi,
Gigabyte GreenMax Plus,,ATX,bronze,650,False,
Deepcool DA600-M,,ATX,bronze,600,Full,Black
Thermaltake Toughpower iRGB PLUS 750,219.99,ATX,gold,750,Full,Black
Silverstone SX600-G,,SFX,gold,600,Full,
Corsair TX650,,ATX,bronze,650,False,
FSP Group Hyper M,,ATX,plus,700,Semi,Black
Thermaltake Toughpower PF1,,ATX,platinum,750,Full,Black
Corsair TX750 V2,384.98,ATX,bronze,750,False,
Cooler Master MWE 450,,ATX,plus,450,False,Black
EVGA SuperNOVA 850 B2,,ATX,bronze,850,Semi,
Cooler Master V1000 Platinum,,ATX,platinum,1000,Full,Black
Fractal Design Ion+ 760P,,ATX,platinum,760,Full,Black
Silverstone Strider,,ATX,gold,750,Full,
FSP Group FSP220-60LE(80),,Mini ITX,plus,220,False,
be quiet! STRAIGHT POWER E9 | 480W CM,,ATX,gold,480,Full,
Apevia ATX-AQ700W-BK,,ATX,,700,False,
SHARKOON WPM Bronze,,ATX,bronze,600,Semi,
Thermaltake Toughpower DPS G RGB Titanium,,ATX,titanium,1500,Full,
Fractal Design Ion Gold,,ATX,gold,650,Full,Black
Thermaltake Smart,,ATX,plus,530,False,
Antec Earthwatts,,ATX,bronze,650,False,
SilentiumPC Supremo L2 V2,,ATX,gold,550,False,Black
Rosewill Glacier 700M,134.99,ATX,bronze,700,Semi,
KOLINK KL-SFX450,,SFX,bronze,450,False,Black / Green
Corsair TX550M,216.59,ATX,bronze,550,Semi,
NZXT HALE90 V2 1200W,,ATX,gold,1200,Full,
Zalman TX,,ATX,,700,False,
SeaSonic G,,ATX,gold,650,Semi,
Silverstone Essential,,ATX,bronze,650,False,Black
Corsair TX750M,499.99,ATX,bronze,750,Semi,
FSP Group Hyper M85+,,ATX,bronze,550,Semi,Black
Antec NeoECO,91.49,ATX,bronze,550,Semi,Black
Rosewill HIVE,183.99,ATX,bronze,850,Full,
Thermaltake TR2,,ATX,bronze,380,False,
FSP Group Raider 550,,ATX,bronze,550,False,
be quiet! Pure Power L8,,ATX,bronze,630,Semi,Black / Orange
Fractal Design Integra M,,ATX,bronze,550,Semi,
be quiet! Straight Power 10 CM,,ATX,gold,800,Semi,
Corsair VS550,,ATX,,550,False,
LC-Power LC6560GP3 V2.3 230V,481.0,ATX,silver,560,False,Black
Rosewill CFZ,99.9,ATX,bronze,750,Semi,Black
Thermaltake German,124.0,ATX,plus,630,False,
BitFenix Whisper M,,ATX,gold,850,Full,
Corsair Vengeance 650M,,ATX,bronze,650,Semi,
SeaSonic X,,ATX,gold,850,Full,
Zalman ZM600-ST,,ATX,plus,600,False,
GameMax GM,,ATX,gold,1350,False,Black
Cooler Master MWE Gold 550,,ATX,gold,550,False,Black
Thermaltake Toughpower GX1 RGB,,ATX,gold,600,False,Black
be quiet! Dark Power Pro 11,,ATX,platinum,1000,Semi,
Corsair GS600,,ATX,bronze,600,False,
Cooler Master B600 ver. 2,,ATX,plus,600,False,Black
EVGA 650 B3,,ATX,bronze,650,Full,
Thermaltake Toughpower Grand RGB Platinum,,ATX,platinum,1050,Full,Black
Thermaltake TOUGHPOWER PF1 ARGB,,ATX,platinum,1050,Full,
GameMax GM,,ATX,bronze,300,False,Silver
SeaSonic PRIME Titanium,,ATX,titanium,850,Full,
Thermaltake Toughpower PF1,,ATX,platinum,850,Full,Black
Thermaltake TR2,,ATX,,430,False,
SHARKOON SilentStorm,89.59,SFX,bronze,450,False,Black
Fractal Design Ion+ 2 Platinum,,ATX,platinum,560,Full,Black
SeaSonic 850FX WHITE,,ATX,gold,850,Full,White
Xilence XP750MR9,124.09,ATX,gold,750,Semi,Black / Red
In Win P65,124.0,ATX,gold,650,Full,Black
BitFenix Formula Gold 750,,ATX,gold,750,False,
Enermax Platimax,299.99,ATX,platinum,1350,Full,Black
SeaSonic FOCUS,,ATX,gold,550,Semi,Black
Cougar BXM850,114.98,ATX,bronze,850,Semi,Orange / Black
OCZ ZT,,ATX,bronze,750,Full,
SeaSonic Platinum,,ATX,platinum,1000,Full,
Corsair Vengeance 400,,ATX,bronze,400,False,
Antec Earthwatts Green,,ATX,bronze,380,False,
OCZ ModXStream Pro,,ATX,plus,700,Semi,
SeaSonic X,,ATX,gold,650,Full,
Cooler Master MWE Gold 750,164.0,ATX,gold,750,False,Black
Corsair HX620,,ATX,plus,620,Full,
SeaSonic PRIME Titanium,,ATX,titanium,750,Full,
Cooler Master V550 Gold V2,,ATX,gold,550,Full,Black
Insignia NS-PCW5508,,ATX,bronze,550,False,Black
Cooler Master MWE Bronze,,ATX,bronze,450,False,Black
Silverstone Strider Titanium,,ATX,titanium,1500,Full,Black / Blue
GAMDIAS KRATOS P1 G,,ATX,gold,750,Semi,Black
Corsair VX550,215.63,ATX,plus,550,False,
Thermaltake TPD-0550M,,ATX,gold,550,Semi,
LC-Power LC6 V2.31,,ATX,gold,750,Full,Black / Gray
Antec VP PLUS,,ATX,plus,550,False,Black
Silverstone DA550 Gold,,ATX,gold,550,Full,Black / White
Corsair VS400,371.99,ATX,plus,400,False,
Thermaltake Toughpower,263.99,ATX,gold,1200,Semi,
SeaSonic Platinum,,ATX,platinum,860,Full,
Phanteks AMP,,ATX,gold,850,Full,Black
Segotep GM,,ATX,gold,750,Full,White
Cooler Master GX,,ATX,plus,650,False,
Cooler Master B500 ver.2,,ATX,plus,500,False,
SilentiumPC Supremo FM2,,ATX,gold,650,Full,Black
Aerocool P7 Platinum,,ATX,platinum,850,Full,Black
EVGA SuperNOVA 850 GS,,ATX,gold,850,Full,
SeaSonic PRIME Ultra Gold 750,,ATX,gold,750,Full,Black
Thermaltake Toughpower Grand RGB 750 SE,,ATX,gold,750,Full,Black
LC-Power LC6350 V2.3,,ATX,bronze,350,False,Black
be quiet! Dark Power Pro 11,,ATX,platinum,750,Semi,
Cooler Master GX,,ATX,bronze,750,False,
FSP Group Hydro G,,ATX,gold,750,Full,
Cooler Master MWE White V2 230V,,ATX,plus,450,False,Black
XFX TS,,ATX,bronze,550,False,
Silverstone SFX,,SFX,gold,450,Full,
Corsair G800,319.92,ATX,plus,800,False,
Thermaltake Toughpower GF1 - TT Premium,,ATX,gold,1200,Full,Black
Corsair CS850M,,ATX,gold,850,Semi,
Rosewill PHOTON-750,,ATX,gold,750,Full,
Super Flower Leadex III ARGB Pro,,ATX,gold,850,Full,Black
be quiet! Straight Power 12,,ATX,platinum,750,Full,Black
EVGA 510 BP,,ATX,bronze,510,False,Black
Silverstone Strider,247.9,ATX,silver,1500,False,
XFX TS,150.63,ATX,gold,550,False,
Thermaltake Toughpower PF1,,ATX,platinum,650,Full,
SeaSonic PRIME SNOWSILENT,,ATX,platinum,650,Full,White
Thermaltake Toughpower iRGB PLUS 1000,,ATX,gold,1000,Full,Black
MSI MAG A500DN,,ATX,plus,500,False,Black
Xigmatek ACXTNRP-PC502,,ATX,bronze,500,False,
EVGA 450 B1,,ATX,bronze,450,False,
EVGA SuperNOVA 1000 G1,,ATX,gold,1000,Full,
Silverstone Strider Plus,,ATX,bronze,500,Full,
FSP Group Hydro PTM,,ATX,platinum,750,Full,Black
Rosewill ARC 750,,ATX,bronze,750,False,
XFX XTR,,ATX,gold,750,Full,
Super Flower Leadex III Super Pro,139.99,ATX,bronze,850,Full,Black
Cooler Master XG850,,ATX,platinum,850,Full,Black
CoolMax ZX-600,78.18,ATX,plus,600,False,
SeaSonic PRIME Platinum,,ATX,platinum,850,Full,
Silverstone Strider Platinum,155.97,ATX,platinum,550,Full,
Xilence XP550R9,160.0,ATX,gold,550,False,Black / Red
Cooler Master MWE White V2 230V,,ATX,plus,400,False,Black
EVGA 750 B3,,ATX,bronze,750,Full,
FSP Group Raider S 750,,ATX,silver,750,False,
Rosewill RBR1000-M,,ATX,bronze,1000,Semi,
Thermaltake TR2,,ATX,plus,700,False,
Raidmax XT,,ATX,,500,False,
FSP Group FSP300-57FCB,,Flex ATX,gold,300,Full,Black
Thermaltake Smart,196.82,ATX,bronze,750,Semi,
Rosewill Capstone,,ATX,gold,650,Semi,
Cougar STX,,ATX,plus,650,False,
SeaSonic FOCUS Gold,,ATX,gold,450,Semi,
Cooler Master MWE GOLD 850 V2,,ATX,gold,850,False,Black
Antec High Current Gamer Extreme,,ATX,gold,1000,Full,
SeaSonic VERTEX PX-850,,ATX,platinum,850,Full,Black / Silver
Deepcool PM500D,,ATX,gold,500,False,Black
GameMax GS,,SFX,bronze,300,False,Silver
Montech CENTURY,,ATX,gold,650,Full,Black
Antec High Current Gamer,,ATX,bronze,620,Semi,
SeaSonic FOCUS SGX,,SFX,gold,450,Full,Black
RIOTORO BUILDER,,ATX,plus,500,False,Black / Red
SHARKOON SilentStorm Icewind Black,,ATX,bronze,550,Semi,Black
Corsair TX650 V2,,ATX,bronze,650,False,
SilentiumPC Vero M2,,ATX,bronze,600,False,Black
SeaSonic PRIME Ultra Platinum 550,,ATX,platinum,550,Full,Black
Xilence XP1250MR9,253.39,ATX,gold,1250,Full,Black / Red
Sparkle ATX-350PN-B204,57.99,ATX,,350,False,
Cooler Master XG650 Plus,189.99,ATX,platinum,650,Full,Black
EVGA 500 BT,118.4,ATX,bronze,500,False,Black
Thermaltake Toughpower SFX,,SFX,gold,450,Full,Black
EVGA SuperNOVA 850 GA,,ATX,gold,850,Full,
Corsair CX-500 V3,,ATX,bronze,500,False,
Thermaltake Smart,,ATX,plus,430,False,
Enermax MAXPRO,,ATX,plus,500,False,
Antec NeoECO 750 Gold,,ATX,gold,750,Semi,Black
Corsair VS350,,ATX,plus,350,False,Black
Thermaltake Smart,,ATX,bronze,650,Semi,
Gigabyte GreenMax Plus,,ATX,bronze,550,False,
Asus ROG Strix Aura Edition,,ATX,gold,750,Full,Black
Antec HCG-750 Bronze,,ATX,bronze,750,False,
EVGA SuperNOVA 750 G7,,ATX,gold,750,Full,Black / Blue
PC Power & Cooling Silencer,263.89,ATX,platinum,1200,Full,
iTek GF EVO,,ATX,gold,850,Full,Black
Thermaltake Toughpower PF3,,ATX,platinum,850,Full,Black
Corsair AX650,,ATX,gold,650,Full,
Deepcool PM800D,,ATX,gold,800,False,Black
Xilence XP650R9,,ATX,gold,650,False,Black / Red
Rosewill LEPTON 600,179.99,ATX,gold,600,Semi,Black
SeaSonic Platinum,,ATX,platinum,660,Full,
Antec True Power,,ATX,bronze,650,Full,
Zalman ZM500-RS,,ATX,plus,500,False,
be quiet! System Power U9,,ATX,bronze,600,False,Black
FSP Group Hydro G,,ATX,gold,850,Full,
Antec High Current Gamer,,ATX,bronze,520,Semi,
Thermaltake TOUGHPOWER GF A3,,ATX,gold,650,Full,Black
Antec High Current Gamer,,ATX,bronze,850,Semi,
Antec VP,,ATX,,450,False,
Thermaltake Toughpower GF2 ARGB,,ATX,gold,850,Full,Black
Cooler Master MWE Gold 650,,ATX,gold,650,False,Black
EVGA 750 B3,,ATX,bronze,850,Full,
Deepcool GamerStorm DQ-M,,ATX,gold,850,Full,Black / Silver
Athena Power Apollo,46.99,SFX,,300,False,
be quiet! SFX Power 3 300,,SFX,bronze,300,False,Black
FSP Group DAGGER PRO ATX3.0,,SFX,gold,850,Semi,Black
LC-Power LC6 V2.31,,ATX,gold,650,Full,Black / Gray
Cooler Master XG750,,ATX,platinum,750,Full,Black
Silverstone Essential,118.9,ATX,gold,750,Semi,Black / Blue
SeaSonic VERTEX GX-750,,ATX,gold,750,Full,Black / Silver
Raidmax Vampire,,ATX,gold,800,Semi,
be quiet! Pure Power 10 CM,,ATX,silver,500,Semi,
SeaSonic X,,ATX,gold,750,Full,
Corsair GS800 2013 Edition,,ATX,bronze,800,False,
Thermaltake Toughpower iRGB PLUS,,ATX,titanium,1250,Full,
Cooler Master V Semi-Modular,,ATX,gold,650,Semi,
FSP Group Raider 750,,ATX,bronze,750,False,
KOLINK KL-SFX250,,SFX,bronze,250,False,Black / Green
Corsair G700,323.99,ATX,plus,700,False,
Thermaltake TR2,,ATX,bronze,500,False,
be quiet! Straight Power 10 CM,,ATX,gold,600,Semi,
SeaSonic PRIME PX,,ATX,platinum,650,Full,Black / Silver
SeaSonic SS-300ES Bronze,104.44,ATX,bronze,300,False,
Enermax Platimax D.F.,,ATX,platinum,600,Full,Black
OCZ ModXStream Pro,,ATX,plus,600,Semi,
Thermaltake TR2,,ATX,plus,800,False,
be quiet! System Power 8,,ATX,plus,500,False,
FSP Group AURUM S 600W,,ATX,gold,600,False,
Cougar GX,,ATX,gold,800,Full,Black / Gold
Antec VP PLUS,,ATX,plus,450,False,Black
Silverstone Strider,,ATX,plus,700,False,
SHARKOON WPM Bronze,,ATX,bronze,700,Semi,
XFX Core Edition,,ATX,bronze,650,False,
Cooler Master Hyper White,,ATX,plus,500,False,Black
Rosewill PHOTON-1200,,ATX,gold,1200,Full,
Corsair TX650M,299.99,ATX,bronze,650,Semi,
Rosewill HIVE,,ATX,bronze,750,Semi,
EVGA SuperNOVA 750 PQ,,ATX,platinum,750,Semi,Black
Rosewill PHOTON-550,232.99,ATX,gold,550,Full,
Enermax MAXREVO SLI,369.99,ATX,gold,1350,Full,Black / Gold
be quiet! Pure Power 10,,ATX,silver,700,False,
Rosewill Glacier 600M,,ATX,bronze,600,Semi,
Thermaltake TR2,,ATX,bronze,450,False,
SeaSonic M12II,,ATX,bronze,430,False,
Thermaltake Toughpower GX1 RGB,,ATX,gold,500,False,Black
Silverstone Strider Titanium,,ATX,titanium,800,Full,
SeaSonic G,,ATX,gold,750,Semi,
Raidmax Thunder RGB,,ATX,bronze,735,Semi,Black
be quiet! Power Zone 750W,,ATX,bronze,750,Full,
Cougar COUGAR-GX1050,,ATX,gold,1050,Semi,
Thermaltake Toughpower GF2 ARGB,139.99,ATX,gold,650,Full,Black
Apex SL-275TFX,45.95,TFX,,275,False,
Super Flower Leadex V Pro,,ATX,platinum,1000,Full,Black
GameMax GT,,TFX,bronze,300,False,Silver
Nfortec Sagitta RGB,,ATX,gold,650,Full,Black
Rosewill HIVE,,ATX,bronze,650,Semi,
In Win PB,150.0,ATX,gold,750,Full,
Corsair HX650,,ATX,gold,650,Semi,
be quiet! System Power 8,,ATX,plus,600,False,
Super Flower Legion GX Pro,,ATX,gold,750,Semi,Black
Antec NeoECO Gold,,ATX,gold,650,Full,
Cooler Master 500W MasterWatt Lite 230V,,ATX,plus,500,False,
FSP Group HEXA 85+,,ATX,bronze,550,False,Black
SeaSonic G,,ATX,gold,360,False,
be quiet! STRAIGHT POWER E9 | 580W CM,,ATX,gold,580,Semi,
Rosewill ARC 550,,ATX,bronze,550,False,
SeaSonic PRIME Gold,,ATX,gold,1000,Full,
In Win Compact,,SFX,gold,700,Full,Black
Rosewill Capstone,,ATX,gold,550,Semi,
SeaSonic Snow Silent 1050,,ATX,platinum,1050,Full,
Antec Basiq,200.0,ATX,plus,550,Semi,
Super Flower Leadex III ARGB Pro,,ATX,gold,650,Full,Black
Rosewill VALENS-600,,ATX,gold,600,False,
Rosewill Glacier 850M,281.39,ATX,bronze,850,Semi,
SeaSonic PRIME Ultra Platinum 850,368.42,ATX,platinum,850,Full,Black
NZXT HALE90 V2 1000W,,ATX,gold,1000,Full,
Cooler Master Silent Pro M,,ATX,bronze,700,Full,
be quiet! System Power U9,,ATX,bronze,500,False,Black
Thermaltake Toughpower iRGB PLUS 1200 Platinum,,ATX,platinum,1200,Full,Black
GameMax GP,,ATX,bronze,400,False,Black
Antec NeoECO 550 Gold,,ATX,gold,550,Semi,Black
Montech GAMMA II,,ATX,gold,750,False,Black
XFX XT,,ATX,bronze,500,False,
Antec CSK,,ATX,bronze,450,False,Black / Yellow
Corsair AX1500i 240V,,ATX,titanium,1500,Full,
Cooler Master Elite,,ATX,,460,False,
SeaSonic CORE GX-500,,ATX,gold,500,Full,Black / Gold
FSP Group HEXA 85+,,ATX,bronze,450,False,Black
Silverstone Strider Titanium,,ATX,titanium,700,Full,
FSP Group FSP500-50FGGBN,,Flex ATX,gold,500,False,
be quiet! Pure Power 9,,ATX,silver,500,Semi,
PC Power & Cooling Silencer Mk II,,ATX,silver,950,False,
EVGA SuperNOVA 1000 PS,,ATX,platinum,1000,Full,
be quiet! System Power 10 U,,ATX,bronze,650,False,Black
Cooler Master Thunder,,ATX,,600,False,
XFX PRO Black Edition,,ATX,gold,850,Full,
SeaSonic SSP-300TBS,72.87,TFX,bronze,300,False,Silver
FSP Group FSP500-50FSPT,149.99,Flex ATX,platinum,500,False,
CoolMax ZX-700,88.81,ATX,plus,700,False,
Xilence XP530R8,,ATX,bronze,530,False,Black / Red
Antec VP650P,,ATX,,650,False,
Thermaltake Toughpower iRGB PLUS 850,,ATX,gold,850,Full,Black
Rosewill Glacier 1000M,,ATX,bronze,1000,Semi,
SeaSonic FOCUS SPX (2021),,SFX,platinum,650,Full,Black
Rosewill RD-Z,,ATX,plus,400,False,Black
Cooler Master Silent Pro Gold,,ATX,gold,1000,Semi,
Cooler Master MasterWatt Lite 600W Full Range,,ATX,plus,600,False,
HEC HEC200SA-2FX,,Mini ITX,,200,False,
Cooler Master B500,,ATX,,500,False,
Xigmatek Vector,,ATX,gold,650,Semi,
Sentey MBP HM,,ATX,bronze,750,Semi,Black
In Win PB,,ATX,gold,850,Full,
Apevia APEVIA ATX-WR680W 680W ATX12V v2.3 SLI CrossFire Active PFC Power Supply,,ATX,,680,Semi,
Antec VP,,ATX,,350,False,
Cooler Master Elite V2,,ATX,,550,False,
NZXT E650,,ATX,gold,650,Full,Black
Corsair TX850 V2,599.99,ATX,bronze,850,False,
Antec Earthwatts,,ATX,bronze,500,False,
be quiet! Straight Power 10 CM,,ATX,gold,500,Semi,
Azza PSAZ-500B12,,ATX,,500,False,
Thermaltake Smart DPS G,,ATX,gold,650,Semi,
SeaSonic PRIME Ultra Platinum 650,,ATX,platinum,650,Full,Black
Athena Power APOLLO 600,196.21,SFX,bronze,600,False,
Xilence Performance A+ III,,ATX,bronze,550,False,Black / Red
Rosewill HIVE,,ATX,bronze,550,Full,
Rosewill Glacier 500M,,ATX,bronze,500,Semi,
Cooler Master MasterWatt Maker 1500 (no Bluetooth),,ATX,titanium,1500,Full,
SeaSonic M12II,,ATX,bronze,750,Semi,
Enermax EPR525AWT_II,,ATX,bronze,525,False,
FSP Group Hydro G,,ATX,gold,650,Full,
Apevia ATX-CB700W,,ATX,,700,False,
Cooler Master MasterWatt 650 TUF Gaming Alliance Edition,,ATX,bronze,650,Semi,Black / Gray
Antec NeoECO Platinum,,ATX,platinum,750,Full,Black
Cooler Master 400W MasterWatt Lite 230V,,ATX,plus,400,False,
Silverstone Strider Titanium,,ATX,titanium,600,Full,
Cooler Master GX,,ATX,plus,750,Semi,
Antec High Current Gamer,,ATX,bronze,750,Semi,
Cooler Master V Semi-Modular,,ATX,gold,750,Semi,
Antec NeoECO Classic,,ATX,bronze,650,False,Black
Phanteks PH-P750GS,,ATX,gold,750,False,Black
MSI MAG A650BN EVA e-PROJECT,,ATX,bronze,650,False,Black / Purple
be quiet! System Power 10 U,,ATX,bronze,550,False,Black
Rosewill ARC 450,,ATX,bronze,450,False,
Nfortec Sagitta RGB,,ATX,gold,750,Full,Black
Inter-Tech Coba Nitrox Nobility,,ATX,silver,700,Semi,Black / Orange
SeaSonic PRIME Platinum,,ATX,platinum,1200,Full,
FSP Group SFX Pro,,SFX,bronze,450,False,Black
Super Flower SF-1200F14MP Black,,ATX,platinum,1200,Full,
SeaSonic SS-300TFX Bronze,56.83,TFX,bronze,300,False,
SeaSonic Platinum,,ATX,platinum,760,Full,
Cooler Master Silent Pro Gold,,ATX,gold,1200,Semi,
Raidmax RX-730SS,,ATX,,730,Semi,
Thermaltake TR2,,ATX,gold,600,False,
GameMax GM,,ATX,gold,2000,False,Black
Enermax CYBERBRON,,ATX,bronze,700,False,Black / Silver
Corsair VX450,,ATX,plus,450,False,
FSP Group HEXA 85+,,ATX,bronze,850,False,Black
Fractal Design Newton R3,,ATX,platinum,800,Semi,
SeaSonic TFX 350,,TFX,gold,350,Full,
Phanteks AMP,,ATX,gold,1000,Full,Black
Corsair VS600,,ATX,plus,600,False,
SeaSonic SS-1250XM2,,ATX,gold,1250,Full,
PC Power & Cooling Silencer Mk II,,ATX,silver,750,False,
EVGA SuperNOVA NEX1500 Classified,,ATX,gold,1500,Full,
be quiet! System Power 10 U,,ATX,bronze,750,False,Black
Montech TITAN GOLD 750W,,ATX,gold,750,Full,Black
Enermax MaxTytan,369.99,ATX,titanium,1050,Full,
Fractal Design Integra M,,ATX,bronze,650,Semi,
Silverstone Nightjar,,ATX,platinum,520,Full,
Fractal Design Integra R2,,ATX,bronze,500,False,
PC Power & Cooling Silencer MK III,,ATX,gold,750,Semi,
Raidmax Cobra,,ATX,bronze,500,False,
be quiet! Pure Power L8,,ATX,bronze,530,Semi,
Athena Power AP-MFATX50P8,136.99,Flex ATX,silver,500,False,
Athena Power AP-MFATX40P8,117.85,Flex ATX,bronze,400,False,
CoolMax ZU-1000B,,ATX,bronze,1000,Semi,
Antec NeoECO V2,91.49,ATX,bronze,550,Semi,Black
Silverstone SFX,73.98,SFX,bronze,300,False,Black
Cooler Master XG650,,ATX,platinum,650,Full,Black
Zalman ACRUX,,ATX,platinum,750,Full,Black / Silver
XFX XTR,,ATX,gold,650,Full,
Thermaltake Smart,,ATX,plus,630,False,
Antec EDGE,,ATX,gold,750,Full,
SeaSonic X,,ATX,gold,1250,Full,
