name,price,core_count,core_clock,boost_clock,tdp,graphics,smt
AMD Athlon II X2 240,29.48,2,2.8,,65,,False
Intel Core i9-10900F,312.99,10,2.8,5.2,65,,True
Intel Core i7-2600K,199.88,4,3.4,,95,Intel HD Graphics 3000,True
AMD Athlon 200GE,,2,3.2,,35,Radeon Vega 3,True
Intel Core i5-6500,,4,3.2,3.6,65,Intel HD Graphics 530,False
AMD Threadripper 2990WX,2500.0,32,3.0,4.2,250,,True
Intel Core i9-9900K (Standard Folding Box),517.87,8,3.6,5.0,95,Intel UHD Graphics 630,True
Intel Core i7-8700,340.04,6,3.2,4.6,65,Intel UHD Graphics 630,True
Intel Core i9-7900X,413.0,10,3.3,4.5,140,,True
Intel Core i9-10900,319.99,10,2.8,5.2,65,Intel UHD Graphics 630,True
Intel Core i7-8086K,476.58,6,4.0,5.0,95,Intel UHD Graphics 630,True
Intel Core i7-7700,300.0,4,3.6,4.2,65,Intel HD Graphics 630,True
Intel Core i7-4790,,4,3.6,4.0,84,Intel HD Graphics 4600,True
Intel Core i9-13900T,,24,1.1,5.3,35,Intel UHD Graphics 770,True
Intel Core i5-8400,299.88,6,2.8,4.0,65,Intel UHD Graphics 630,False
Intel Core i5-4440,123.85,4,3.1,3.3,84,Intel HD Graphics 4600,False
Intel Core i9-11900,363.99,8,2.5,5.2,65,Intel UHD Graphics 750,True
Intel Pentium Gold G5420,58.99,2,3.8,,54,Intel UHD Graphics 610,True
Intel Core i9-9900K,909.99,8,3.6,5.0,95,Intel UHD Graphics 630,True
Intel Core i9-7960X,2399.94,16,2.8,4.4,165,,True
Intel Core i5-11500,227.99,6,2.7,4.6,65,Intel UHD Graphics 750,True
Intel Core i7-7740X,193.74,4,4.3,4.5,112,,True
Intel Pentium E6600,50.0,2,3.06,,65,,False
Intel Core i5-9400F,,6,2.9,4.1,65,,False
AMD Ryzen 3 1300X,,4,3.5,3.7,65,,False
Intel Core i5-9500,210.0,6,3.0,4.4,65,Intel UHD Graphics 630,False
AMD FX-9590,302.58,8,4.7,5.0,220,,False
AMD Ryzen 5 2600,,6,3.4,3.9,65,,True
Intel Celeron G440,,1,1.6,,35,Intel HD Graphics,False
Intel Core i5-10600,207.86,6,3.3,4.8,65,Intel UHD Graphics 630,True
Intel Core i5-8600,239.86,6,3.1,4.3,65,Intel UHD Graphics 630,False
Intel Core i9-9900,595.0,8,3.1,5.0,65,Intel UHD Graphics 630,True
Intel Core i5-2500,,4,3.3,,95,Intel HD Graphics 2000,False
Intel Core i9-10920X,679.99,12,3.5,4.8,165,,True
AMD Threadripper 2950X,1075.0,16,3.5,4.4,180,,True
Intel Core i9-11900F,312.5,8,2.5,5.2,65,,True
Intel Core i3-4130,77.14,2,3.4,,54,Intel HD Graphics 4400,True
Intel Pentium Gold G5400,64.95,2,3.7,,58,Intel UHD Graphics 610,True
Intel Pentium G4400,42.99,2,3.3,,54,Intel HD Graphics 510,False
Intel Core i3-4170,,2,3.7,,54,Intel HD Graphics 4400,True
Intel Xeon E5-2670 V3,,12,2.3,3.1,120,,True
Intel Core i7-6950X,328.29,10,3.0,3.5,140,,True
Intel Pentium G4560,,2,3.5,,54,Intel HD Graphics 610,True
Intel Core i7-7700K,,4,4.2,4.5,91,Intel HD Graphics 630,True
Intel Core i3-9350KF,,4,4.0,4.6,91,,False
AMD Ryzen 3 3200G,,4,3.6,4.0,65,Radeon Vega 8,False
Intel Core i3-3220,,2,3.3,,55,Intel HD Graphics 2500,True
Intel Core i7-4930K,175.0,6,3.4,3.9,130,,True
Intel Core i3-8350K,217.3,4,4.0,,91,Intel UHD Graphics 630,False
Intel Core i7-7800X,405.86,6,3.5,4.0,140,,True
AMD Ryzen 5 2600X,,6,3.6,4.2,95,,True
Intel Pentium Gold G6405,72.98,2,4.1,,58,Intel UHD Graphics 610,True
AMD FX-8300,100.0,8,3.3,,95,,False
Intel Core i5-4670,135.86,4,3.4,,84,Intel HD Graphics 4600,False
Intel Core i5-3330,,4,3.0,,77,Intel HD Graphics 2500,False
Intel Core i7-6700K,,4,4.0,4.2,91,Intel HD Graphics 530,True
AMD A6-7400K,105.0,2,3.5,3.9,65,Radeon R5 (on die),False
Intel Core i7-5960X,,8,3.0,3.5,140,,True
Intel Core i3-2120,128.12,2,3.3,,65,Intel HD Graphics 2000,True
AMD FX-9370,109.0,8,4.4,4.7,220,,False
Intel Core i7-7820X,329.88,8,3.6,4.5,140,,True
AMD Ryzen 5 3400G,,4,3.7,4.2,65,Radeon Vega 11,True
Intel Core i7-9700,347.68,8,3.0,4.7,65,Intel HD Graphics 630,False
Intel Core i7-7700T,489.95,4,2.9,3.8,35,Intel HD Graphics 630,True
Intel Core i5-13500T,,14,1.6,4.6,35,Intel UHD Graphics 770,True
Intel Core i3-13100T,,4,2.5,4.2,35,Intel UHD Graphics 730,True
