name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Patriot Viper Steel 16 GB,,"[4, 3200]","[2, 8]",,Silver / Black,10.0,16.0
G.Skill Trident Z5 RGB 32 GB,119.99,"[5, 6400]","[2, 16]",3.75,Silver / Black,10.0,32.0
TEAMGROUP T-Force Vulcan Z 16 GB,33.99,"[4, 3200]","[2, 8]",2.124,Gray,10.0,16.0
Silicon Power XPOWER Zenith Gaming 16 GB,31.97,"[4, 3200]","[2, 8]",1.998,Black / Silver,10.0,16.0
Corsair Vengeance 64 GB,204.99,"[5, 6000]","[2, 32]",3.203,Gray,13.333,40.0
Crucial CT2K16G4DFRA32A 32 GB,56.99,"[4, 3200]","[2, 16]",1.781,Green / Black,13.75,22.0
Kingston FURY Beast RGB 32 GB,81.63,"[4, 3200]","[2, 16]",2.551,Black,10.0,16.0
Corsair Vengeance LPX 16 GB,47.99,"[4, 3200]","[2, 8]",2.999,White,10.0,16.0
Kingston HyperX Fury 8 GB,89.96,"[4, 2666]","[1, 8]",11.245,Black,12.003,16.0
Kingston FURY Beast 16 GB,54.98,"[4, 3600]","[2, 8]",3.436,Black,9.444,17.0
TEAMGROUP T-Force Delta RGB 32 GB,66.98,"[4, 3200]","[2, 16]",2.093,Black,10.0,16.0
Corsair Vengeance 32 GB,109.99,"[5, 5600]","[2, 16]",3.437,Gray,12.857,36.0
TEAMGROUP T-Force Delta RGB 32 GB,86.99,"[5, 5600]","[2, 16]",2.718,Black,11.429,32.0
G.Skill Aegis 16 GB,36.99,"[4, 3000]","[2, 8]",2.312,Black / Red,10.667,16.0
TEAMGROUP T-Force Delta RGB 32 GB,269.99,"[5, 8000]","[2, 16]",8.437,Black / Silver,9.5,38.0
Corsair Vengeance RGB Pro SL 32 GB,79.98,"[4, 3600]","[2, 16]",2.499,Black,10.0,18.0
Corsair Vengeance RGB Pro 64 GB,144.99,"[4, 3200]","[2, 32]",2.265,Black,10.0,16.0
ADATA XPG GAMMIX D45 16 GB,50.53,"[4, 3200]","[2, 8]",3.158,Black,10.0,16.0
Corsair Vengeance LPX 32 GB,99.99,"[4, 3600]","[2, 16]",3.125,Black / Yellow,8.889,16.0
Corsair Vengeance 64 GB,289.99,"[5, 6600]","[4, 16]",4.531,Black / Gray,9.697,32.0
TEAMGROUP Elite 32 GB,69.98,"[5, 4800]","[2, 16]",2.187,Black,16.667,40.0
