name,price,capacity,price_per_gb,type,cache,form_factor,interface
Acer Predator GM7000,59.99,1000.0,0.06,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Patriot P210,69.98,2000.0,0.035,SSD,,2.5,SATA 6.0 Gb/s
Silicon Power A55,34.99,1000.0,0.035,SSD,,M.2-2280,M.2 SATA
TEAMGROUP T-Force Vulcan Z,14.99,240.0,0.062,SSD,,2.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro,215.0,10000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s
Sabrent Rocket 4 Plus G,149.99,2000.0,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Gigabyte AORUS Gen4,169.0,1000.0,0.169,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN750 SE,65.0,500.0,0.13,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Inland QN322,78.98,2000.0,0.039,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 Force Series Gen4,178.33,1000.0,0.178,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Surveillance HDD,,1000.0,,5400,64.0,3.5,SATA 6.0 Gb/s
Leven JS600,145.99,4000.0,0.036,SSD,,2.5,SATA 6.0 Gb/s
Seagate FireCuda 530 w/Heatsink,151.86,2000.0,0.076,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN750,109.99,2000.0,0.055,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power A55,18.57,128.0,0.145,SSD,,2.5,SATA 6.0 Gb/s
Kingston Fury Renegade,59.84,500.0,0.12,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP510,54.99,480.0,0.115,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Inland Performance Plus,131.99,2000.0,0.066,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM710,,2000.0,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM790,137.49,2000.0,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4
