name,price,rpm,noise_level,color,size
MSI MAG CORELIQUID 240R V2 WHIT,119.99,"[500, 2000]",,White,240.0
be quiet! Pure Rock LP,49.9,2500,,Black,
Cooler Master Hyper 212 Halo,43.99,"[650, 2050]",27,Black,
EK AIO 280 D-RGB,141.99,"[500, 2000]",36.4,Black / Translucent White,280.0
Corsair iCUE H170i ELITE CAPELLIX,301.06,2000,"[10, 37]",Black,420.0
Noctua NH-U14S,79.95,"[300, 1500]","[19.2, 24.6]",,
Noctua NH-L12 Ghost S1,62.96,"[300, 1600]","[13.1, 17.6]",Silver / Beige,
ARCTIC Alpine 23,9.99,"[100, 2000]",,White / Black,
Cooler Master MasterLiquid ML360 Illusion,174.26,"[650, 1800]","[6, 30]",Black / Silver,360.0
Noctua NH-L9a-AM4 chromax.black,54.95,"[600, 2500]","[14.8, 23.6]",Black,
Deepcool LS720 SE WH,112.98,"[500, 2250]","[28.2, 32.9]",White,360.0
Thermalright Peerless Assassin 120 White ARGB,49.9,1550,25.6,White,
ARCTIC Freezer 34 eSports DUO,49.99,"[200, 2100]",24.4,Black / Gray,
Vetroo V240,79.98,1800,30.8,Black,240.0
Lian Li GALAHAD AIO 360 RGB,229.99,"[800, 1900]",,White / Silver,360.0
Vetroo V360,109.99,"[800, 1800]",,White,360.0
Gigabyte AORUS WATERFORCE X,199.99,"[800, 2500]","[7.9, 37.6]",Black,360.0
Cooler Master Hyper H412R,32.99,"[600, 2000]",29.4,Black,
Fractal Design Lumen S24 RGB V2,113.98,"[500, 2000]","[10, 33.2]",Black,240.0
NZXT Kraken X73 RGB,369.99,"[500, 1500]","[22, 33]",Black,360.0
NZXT Kraken M22,89.99,"[500, 2000]","[21, 36]",Black,120.0
Corsair H100i v2,311.83,2435,37.7,,240.0
be quiet! Pure Loop 280,104.9,,"[22.5, 38.1]",Black,280.0
Thermalright Assassin X 90 SE,17.89,2400,27.3,Black / Silver,
be quiet! Dark Rock Slim,59.9,1500,"[11, 23.6]",Black,
NZXT Kraken Elite 280 RGB,262.38,"[500, 1500]",34.48,White,280.0
Thermalright AXP90-X47,31.9,2700,22.4,White,
Deepcool AK500,39.99,"[500, 1850]",,Black / Silver,
Deepcool CASTLE 240EX A-RGB,109.99,"[500, 1800]",30,White / Black,240.0
Corsair iCUE H100i RGB PRO XT,,2400,37,Black,240.0
Deepcool AG500 BK ARGB,39.99,"[300, 1850]",29.4,Black,
Deepcool LS520 WH,109.99,"[500, 2250]",32.9,White,240.0
ID-COOLING PINKFLOW,109.99,"[900, 2000]","[16.3, 33.5]",White / Pink,240.0
Cooler Master Hyper 212 Spectrum V3,37.98,"[650, 1750]",27.2,Black / Silver,
NZXT Kraken X63 RGB,,"[500, 1500]","[22, 33]",Black,280.0
NZXT Kraken Z53 RGB,,"[500, 1500]","[22, 33]",White / Black,240.0
Enermax Liqmax III 240 ARGB,79.99,"[500, 1600]","[14, 27]",Black,240.0
NZXT Kraken Z53 RGB,282.64,"[500, 1500]","[22, 33]",Black,240.0
Noctua NH-L9A-AM5,44.95,"[600, 2500]","[14.8, 23.6]",Brown / Silver,
Gigabyte AORUS WATERFORCE X,159.99,"[800, 2500]","[7.9, 37.6]",Black,240.0
Corsair iCUE H115i ELITE CAPELLIX XT,179.99,"[500, 1700]","[5, 33.8]",Black,280.0
Thermalright Peerless Assassin 120 Black,,1550,25.6,Black,
NZXT Kraken X63 RGB,161.99,"[500, 1500]","[22, 33]",White / Black,280.0
ID-COOLING DASHFLOW 240 BASIC,69.98,"[700, 1800]","[15.2, 35.2]",White,240.0
NZXT Kraken Elite 240 RGB,249.99,"[500, 1800]","[17.9, 30.6]",Black,240.0
Deepcool LS520 SE WH,,"[500, 2250]","[28.2, 32.9]",White,240.0
Deepcool GAMMAXX GT A-RGB,84.48,"[500, 1650]",27.8,Black / Silver,
be quiet! Pure Loop 2 FX,154.9,,"[8, 34]",Black,360.0
Thermaltake Gravity i2,11.99,1800,21.3,,
Cooler Master Hyper 212 Halo,44.08,"[650, 2050]",27,White,
Thermaltake UX100,25.48,1800,26.92,Black,
